18 Mar 25 03:29 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 03:29 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 03:29 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 03:34 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 03:34 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 03:34 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 03:34 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 03:36 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 03:36 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 03:36 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 03:36 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 03:37 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 03:37 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 03:40 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 03:40 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 03:41 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 03:41 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:22 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:31 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:31 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:33 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:33 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:33 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:34 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:34 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 13:38 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:38 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:39 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:39 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:39 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:39 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:40 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:40 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:43 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:43 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 13:43 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:43 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:43 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:43 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:43 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:44 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:44 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
18 Mar 25 13:44 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:44 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:47 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:47 MSK | [INFO] | /home/mizmor/pkg/server/server.go:40 | HTTP server is starting.. 
18 Mar 25 13:47 MSK | [DEBUG] | /home/mizmor/pkg/server/server.go:52 | HTTP server keep-alive is running.. 
18 Mar 25 13:48 MSK | [INFO] | /home/mizmor/pkg/server/server.go:76 | Stopping http-server... 
18 Mar 25 13:48 MSK | [INFO] | /home/mizmor/pkg/server/server.go:60 | Keep alive http-worker is stopped correct 
